model_family,mean_confidence,empirical_accuracy
AR,0.0,0.125
AR,0.5,0.0
AR,0.6071428571428571,0.14285714285714285
AR,0.7206896551724138,0.3275862068965517
AR,0.8186253369272236,0.2722371967654987
AR,0.9696112676056338,0.3177464788732394
DLM,0.0,0.0
DLM,0.15,0.0
DLM,0.20285714285714287,0.0
DLM,0.3222222222222222,0.0
DLM,0.4313333333333334,0.0
DLM,0.55,0.0
DLM,0.6248275862068966,0.0
DLM,0.7493975903614458,0.13253012048192772
DLM,0.8530827067669172,0.2631578947368421
DLM,0.9743551088777219,0.7096594081518705
