metric,model_family,prompt_condition,value,N
ECE,AR,cautious,0.17837777777777786,2250
AURC,AR,cautious,0.24671973806559122,2250
ECE,AR,neutral,0.19895555555555552,2250
AURC,AR,neutral,0.2650921286483833,2250
ECE,AR,overconfident,0.23235555555555562,2250
AURC,AR,overconfident,0.2861250804935989,2250
BAS,AR,all,0.9582222222222222,6750
ECE,DLM,cautious,0.17607577807848446,750
AURC,DLM,cautious,0.08507593537570922,750
ECE,DLM,neutral,0.19128900949796462,750
AURC,DLM,neutral,0.0790148682310288,750
ECE,DLM,overconfident,0.2083940620782725,750
AURC,DLM,overconfident,0.07209459023053535,750
BAS,DLM,all,0.8666666666666667,2250
