prompt_condition,bin_low,bin_high,bin_center,bin_count,bin_accuracy,bin_confidence
cautious,0.0,0.1,0.05,5,0.4,0.0
cautious,0.1,0.2,0.15,14,0.0,0.1
cautious,0.2,0.3,0.25,11,0.18181818181818182,0.2
cautious,0.3,0.4,0.35,28,0.25,0.3
cautious,0.4,0.5,0.45,18,0.16666666666666666,0.4
cautious,0.5,0.6,0.55,1,0.0,0.5
cautious,0.6,0.7,0.65,36,0.3333333333333333,0.6166666666666667
cautious,0.7,0.8,0.75,80,0.675,0.7168749999999999
cautious,0.8,0.9,0.85,218,0.7889908256880734,0.8275229357798165
cautious,0.9,1.0,0.95,1839,0.7422512234910277,0.943284393692224
neutral,0.0,0.1,0.05,1,0.0,0.0
neutral,0.1,0.2,0.15,4,0.0,0.1
neutral,0.2,0.3,0.25,4,0.0,0.2
neutral,0.3,0.4,0.35,25,0.04,0.3
neutral,0.4,0.5,0.45,14,0.21428571428571427,0.4
neutral,0.5,0.6,0.55,2,0.5,0.5
neutral,0.6,0.7,0.65,30,0.3333333333333333,0.6133333333333333
neutral,0.7,0.8,0.75,70,0.6142857142857143,0.715
neutral,0.8,0.9,0.85,185,0.8648648648648649,0.8340540540540541
neutral,0.9,1.0,0.95,1915,0.7300261096605745,0.9473629242819843
overconfident,0.0,0.1,0.05,0,,
overconfident,0.1,0.2,0.15,1,1.0,0.1
overconfident,0.2,0.3,0.25,1,0.0,0.2
overconfident,0.3,0.4,0.35,13,0.0,0.3
overconfident,0.4,0.5,0.45,3,0.0,0.4000000000000001
overconfident,0.5,0.6,0.55,0,,
overconfident,0.6,0.7,0.65,47,0.1702127659574468,0.601063829787234
overconfident,0.7,0.8,0.75,51,0.43137254901960786,0.7137254901960784
overconfident,0.8,0.9,0.85,119,0.7983193277310925,0.8365546218487395
overconfident,0.9,1.0,0.95,2015,0.7354838709677419,0.9724069478908189
