family,model_label,dataset,N,accuracy,mean_confidence,parse_failure_rate,zero_confidence_rate,high_confidence_rate,high_confidence_wrong_rate
AR,GPT-4.1 mini,GSM8K,450,0.482222,0.996556,0.000000,0.000000,1.000000,0.517778
AR,GPT-4.1 mini,MedQA,450,0.795556,0.928778,0.000000,0.000000,0.962222,0.182222
AR,GPT-4.1 mini,SimpleQA,450,0.115556,0.921000,0.000000,0.000000,0.960000,0.844444
AR,GPT-4.1 mini,TriviaQA,450,0.826667,0.959333,0.000000,0.000000,0.975556,0.148889
AR,GPT-4.1 mini,TruthfulQA,450,0.764444,0.945556,0.000000,0.000000,0.995556,0.235556
AR,Gemini Flash,GSM8K,450,0.673333,1.000000,0.000000,0.000000,1.000000,0.326667
AR,Gemini Flash,MedQA,450,0.817778,0.938222,0.000000,0.000000,0.980000,0.175556
AR,Gemini Flash,SimpleQA,450,0.351111,0.964556,0.000000,0.004444,0.988889,0.644444
AR,Gemini Flash,TriviaQA,450,0.964444,0.994444,0.000000,0.000000,1.000000,0.035556
AR,Gemini Flash,TruthfulQA,450,0.824444,0.972444,0.000000,0.004444,0.995556,0.175556
AR,Grok,GSM8K,450,0.977778,0.932444,0.000000,0.000000,0.971111,0.015556
AR,Grok,MedQA,450,0.931111,0.871444,0.000000,0.000000,0.624444,0.000000
AR,Grok,SimpleQA,450,0.371111,0.593333,0.000000,0.004444,0.051111,0.020000
AR,Grok,TriviaQA,450,0.962222,0.894222,0.000000,0.000000,0.808889,0.004444
AR,Grok,TruthfulQA,450,0.900000,0.855667,0.000000,0.000000,0.506667,0.060000
DLM,DiffusionGemma,GSM8K,450,0.842222,0.992222,0.000000,0.006667,0.991111,0.148889
DLM,DiffusionGemma,MedQA,450,0.726667,0.971000,0.000000,0.000000,0.993333,0.266667
DLM,DiffusionGemma,SimpleQA,450,0.073333,0.985000,0.000000,0.000000,1.000000,0.926667
DLM,DiffusionGemma,TriviaQA,450,0.568889,0.994333,0.000000,0.000000,1.000000,0.431111
DLM,DiffusionGemma,TruthfulQA,450,0.713333,0.966778,0.000000,0.000000,1.000000,0.286667
DLM,Dream,GSM8K,450,0.326667,0.965646,0.020000,0.033333,0.946667,0.620000
DLM,Dream,MedQA,450,0.626667,0.761074,0.006667,0.206667,0.646667,0.226667
DLM,Dream,SimpleQA,450,0.033333,0.776643,0.066667,0.180000,0.693333,0.660000
DLM,Dream,TriviaQA,450,0.391111,0.857609,0.080000,0.113333,0.773333,0.428889
DLM,Dream,TruthfulQA,450,0.260000,0.711538,0.046667,0.240000,0.573333,0.406667
DLM,LLaDA,GSM8K,450,0.526667,0.996000,0.000000,0.000000,1.000000,0.473333
DLM,LLaDA,MedQA,450,0.400000,0.936667,0.000000,0.000000,0.973333,0.586667
DLM,LLaDA,SimpleQA,450,0.046667,0.985333,0.000000,0.000000,1.000000,0.953333
DLM,LLaDA,TriviaQA,450,0.182222,0.993333,0.000000,0.000000,1.000000,0.817778
DLM,LLaDA,TruthfulQA,450,0.313333,0.948667,0.000000,0.026667,0.966667,0.666667
DLM,Mercury-2,GSM8K,450,0.962222,0.989822,0.000000,0.002222,0.997778,0.037778
DLM,Mercury-2,MedQA,450,0.873333,0.963600,0.000000,0.000000,0.948889,0.102222
DLM,Mercury-2,SimpleQA,450,0.142222,0.745448,0.033333,0.006667,0.313333,0.206667
DLM,Mercury-2,TriviaQA,450,0.786667,0.950748,0.020000,0.000000,0.860000,0.104444
DLM,Mercury-2,TruthfulQA,450,0.837778,0.952222,0.020000,0.000000,0.906667,0.113333
