family,dataset,N,accuracy,mean_confidence,parse_failure_rate,high_confidence_wrong_rate
AR,GSM8K,1350,0.711111,0.976333,0.000000,0.286667
AR,MedQA,1350,0.848148,0.912815,0.000000,0.119259
AR,SimpleQA,1350,0.279259,0.826296,0.000000,0.502963
AR,TriviaQA,1350,0.917778,0.949333,0.000000,0.062963
AR,TruthfulQA,1350,0.829630,0.924556,0.000000,0.157037
DLM,GSM8K,1800,0.664444,0.986025,0.005000,0.320000
DLM,MedQA,1800,0.656667,0.908331,0.001667,0.295556
DLM,SimpleQA,1800,0.073889,0.875846,0.025000,0.686667
DLM,TriviaQA,1800,0.482222,0.950872,0.025000,0.445556
DLM,TruthfulQA,1800,0.531111,0.896684,0.016667,0.368333
